OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SORCE,2003-004A,2025-12-04T14:15:27.105408,15.02184286,0.0015072,39.9918,290.77,92.7343,267.5176,0,U,27651,999,24261,0.00065469,8.655e-05,0.0
NAVSTAR 51 (USA 166),2003-005A,2025-12-03T11:06:59.696352,2.00571298,0.0147085,54.9258,222.7473,51.6706,163.3527,0,U,27663,999,16738,0.0,6.1e-07,0.0
USA 167,2003-008A,2025-12-04T10:00:22.898016,1.00272543,0.0004848,10.5738,45.1236,252.9851,163.4106,0,U,27691,999,482,0.0,1.3e-07,0.0
NAVSTAR 52 (USA 168),2003-010A,2025-12-04T11:35:05.977248,1.94742888,0.0004966,54.9266,332.5306,302.4956,236.5361,0,U,27704,999,16612,0.0,-7.5e-07,0.0
USA 169 (MILSTAR-2 4),2003-012A,2025-12-04T10:27:54.052128,1.00272571,0.0094425,12.053,31.393,1.5776,349.6461,0,U,27711,999,3099,0.0,-1.91e-06,0.0
ASIASAT 4,2003-014A,2025-12-04T06:20:51.694944,1.00271259,0.0002972,4.2062,78.207,174.5518,63.3555,0,U,27718,999,4334,0.0,-2.08e-06,0.0
HELLAS-SAT 2,2003-020A,2025-12-04T00:54:38.776320,1.00270872,0.00112864,6.8681,70.2182,184.239,182.3137,0,U,27811,999,4089,0.0,-7.2e-07,0.0
THURAYA-2,2003-026A,2025-12-04T04:02:21.787872,1.0027122,0.0002971,8.533,32.7364,246.6848,258.4134,0,U,27825,999,8239,0.0,1.34e-06,0.0
OPTUS C1,2003-028B,2025-12-04T12:45:17.692992,1.00269312,0.0006418,6.4016,71.772,183.2352,165.6415,0,U,27831,999,5110,0.0,-1.41e-06,0.0
MOST,2003-031D,2025-12-04T15:09:14.478048,14.21266831,0.0010959,98.7067,344.0683,94.0078,266.2352,0,U,27843,999,16307,0.00011603,2.09e-06,0.0
CUTE-1 (CO-55),2003-031E,2025-12-03T22:45:53.123328,14.24167634,0.00102341,98.6765,343.965,37.7288,322.4607,0,U,27844,999,16388,0.00032743972,7.11e-06,0.0
CUBESAT XI-IV (CO-57),2003-031J,2025-12-04T11:21:15.988608,14.23478181,0.0010363,98.6795,344.3515,53.1766,307.0362,0,U,27848,999,16367,0.00028451,6.03e-06,0.0
SCISAT 1,2003-036A,2025-12-04T15:40:51.683808,14.8110029,0.0008405,73.9293,197.7691,300.0995,59.9347,0,U,27858,999,20264,0.0001854,1.404e-05,0.0
COSMOS 2400,2003-037A,2025-12-04T18:45:37.633248,12.45186315,0.0022403,82.47,91.7588,120.6193,239.7101,0,U,27868,999,1334,2.8989e-05,1.4e-07,0.0
COSMOS 2401,2003-037B,2025-12-04T17:06:08.997696,12.45498951,0.0023194,82.4694,88.2647,116.4503,243.8961,0,U,27869,999,1356,-3.3076e-05,5e-08,0.0
USA 170,2003-040A,2025-12-02T21:03:38.547936,1.00269658,0.00029131,10.0825,49.7768,221.3709,140.8599,0,U,27875,999,3102,0.0,1.39e-06,0.0
MOZHAETS 4 (RS-22),2003-042A,2025-12-04T18:35:00.613824,14.72934741,0.0011686,98.3361,152.7629,159.9113,325.9344,0,U,27939,999,18692,0.00046163,2.91e-05,0.0
LARETS,2003-042F,2025-12-04T15:35:07.657152,14.63817193,0.0011065,98.3896,132.0558,284.8781,75.1195,0,U,27944,999,18490,4.4209e-05,1.8e-06,0.0
GALAXY 13 (HORIZONS-1),2003-044A,2025-12-04T13:11:38.704992,1.00273025,0.0002064,0.9144,86.575,163.3014,231.6575,0,U,27954,999,4462,0.0,1.47e-06,0.0
IRS-P6 (RESOURCESAT-1),2003-046A,2025-12-04T18:44:32.142912,14.36069129,0.0063734,98.2189,19.5565,204.6423,263.4016,0,U,28051,999,15262,0.00015852,4.31e-06,0.0
DMSP 5D-3 F16 (USA 172),2003-048A,2025-12-04T17:13:29.939232,14.14419807,0.0006831,99.0051,356.1114,345.4042,132.1918,0,U,28054,999,14199,0.00016398,2.68e-06,0.0
CHUANGXIN 1 (CX-1),2003-049B,2025-12-04T15:46:10.676064,14.48445723,0.0013498,98.5252,231.1012,56.0287,304.2186,0,U,28058,999,16811,0.00018201,6.37e-06,0.0
YAMAL 202,2003-053A,2025-12-04T14:22:46.238592,1.00271865,0.000692,5.8523,73.3135,182.1566,197.4127,0,U,28089,999,8075,0.0,-6.9e-07,0.0
UFO 11 (USA 174),2003-057A,2025-12-03T18:58:49.314720,1.00272913,0.00048944,8.7416,34.7441,217.376,181.0966,0,U,28117,999,8049,0.0,-9.5e-07,0.0
NAVSTAR 53 (USA 175),2003-058A,2025-12-03T09:22:49.486656,1.92678329,0.00024377,54.9052,30.5236,291.9173,68.1142,0,U,28129,999,16069,0.0,-7.3e-07,0.0
USA 176 (DSP 22),2004-004A,2025-12-03T04:00:38.642688,1.00273383,0.00037045,11.7942,27.4815,232.0656,136.3639,0,U,28158,999,3097,0.0,-1.5e-06,0.0
ABS-4 (MOBISAT-1),2004-007A,2025-12-03T20:07:48.039744,1.00274262,0.00061678,5.5472,74.3953,183.6397,177.8392,0,U,28184,999,5038,0.0,5.2e-07,0.0
EUTELSAT 7A,2004-008A,2025-12-04T11:21:07.314912,1.00269427,0.0001415,5.3358,74.3411,202.5213,187.7606,0,U,28187,999,7940,0.0,1.15e-06,0.0
