OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33670,2025-065Q,2026-02-02T03:14:21.373440,15.27603063,0.00014672,43.0007,307.7213,267.4566,92.6118,0,U,63413,999,4740,0.0011062424,0.00030326,0.0
STARLINK-33644,2025-065R,2026-02-02T04:20:57.874560,15.27606365,0.00012619,43.0007,308.0547,260.9359,99.135,0,U,63414,999,4740,0.0010321165,0.00028271,0.0
STARLINK-33664,2025-065S,2026-02-02T03:25:27.591744,15.27596139,0.00012391,43.0016,307.7755,265.9143,94.1567,0,U,63415,999,4740,0.00060043885,0.00016305,0.0
STARLINK-33649,2025-065T,2026-02-02T03:06:57.007872,15.27596487,0.0001293,43.0003,307.661,261.0359,99.0346,0,U,63416,999,4740,0.00065649212,0.00017856,0.0
STARLINK-33535,2025-065U,2026-02-02T03:23:36.131424,15.27607162,0.00019004,42.9996,307.7376,255.5867,104.4774,0,U,63417,999,4740,0.00077230441,0.00021069,0.0
STARLINK-33703,2025-065V,2026-02-02T02:19:03.368928,15.27601842,0.00013286,43.0002,308.2809,282.7821,77.2882,0,U,63418,999,4739,0.00069768489,0.00018999,0.0
STARLINK-33709,2025-065W,2026-02-02T03:58:45.664320,15.27603903,0.00016781,43.0002,307.9419,263.0615,97.0046,0,U,63419,999,4740,0.00075544184,0.00020599,0.0
STARLINK-33698,2025-065X,2026-02-02T02:55:50.766240,15.27601758,0.00015587,43.0014,307.5936,273.2307,86.8367,0,U,63420,999,4740,0.0010758625,0.00029481,0.0
STARLINK-33606,2025-065Y,2026-02-02T03:21:45.185184,15.27603599,0.00010102,43.0022,307.739,270.2104,89.8632,0,U,63421,999,4740,0.00069769142,0.00019,0.0
STARLINK-33686,2025-065Z,2026-02-02T03:36:33.341760,15.2761133,0.00014828,43.0024,307.8143,266.7331,93.3351,0,U,63422,999,4740,0.00088136539,0.00024094,0.0
STARLINK-33675,2025-065AA,2026-02-02T02:50:17.823840,15.27605463,0.00015947,43.0007,307.5704,271.79,88.2769,0,U,63423,999,4740,0.0013772307,0.00037861,0.0
STARLINK-33655,2025-065AB,2026-02-02T04:09:51.648480,15.27590711,0.00014475,42.9969,307.9856,266.5152,93.5534,0,U,63424,999,4740,0.00077567292,0.00021151,0.0
STARLINK-33608,2025-065AC,2026-02-02T03:32:51.144288,15.27601307,0.00010265,43.0002,307.786,272.1119,87.9615,0,U,63425,999,4740,0.00054449119,0.00014761,0.0
STARLINK-33615,2025-065AD,2026-02-02T00:56:00.033792,15.27614395,7.682e-05,42.9995,308.7037,259.6223,100.4542,0,U,63426,999,4738,0.00119582,0.00032825,0.0
HJS-6B,2025-067B,2026-02-02T06:18:16.841952,15.38101072,0.00076997,54.9914,268.7882,16.4458,343.6818,0,U,63429,999,4726,0.00029166005,0.00010722,0.0
HJS-6C,2025-067C,2026-02-02T06:13:39.363168,15.38055618,0.00077669,54.9922,268.7879,11.2174,348.9025,0,U,63430,999,4725,0.00028565861,0.00010477,0.0
HJS-6D,2025-067D,2026-02-02T06:19:01.200576,15.38188728,0.00053961,54.9912,268.8125,13.4875,346.6296,0,U,63431,999,4725,0.00038008548,0.00014133,0.0
TIANPING-3A 02,2025-068A,2026-02-02T07:19:21.224064,14.85516833,0.0232292,43.0025,42.0274,143.9297,217.7462,0,U,63432,999,4531,0.0002236119,2.959e-05,0.0
STARLINK-33682,2025-069A,2026-02-02T03:43:57.702144,15.30197634,0.00013186,53.1619,307.5741,95.7744,264.3407,0,U,63433,999,4796,0.00069802556,0.00020369,0.0
STARLINK-33710,2025-069B,2026-02-02T01:00:10.183392,15.30199228,0.00011879,53.1591,308.2919,92.9051,267.2086,0,U,63434,999,4794,0.0009901655,0.00029081,0.0
STARLINK-33733,2025-069C,2026-02-02T00:55:36.584832,15.30194267,0.00013082,53.1594,308.271,67.6964,292.4175,0,U,63435,999,4794,0.00050479306,0.00014618,0.0
