OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE,TOP_DEVIATING_FEATURE,DEVIATION_SIGMA
GHOST-1,56195,15.90005215,0.0002049,97.2989,5.997,107.8527,0.00077842,0.00230861,2.14e-05,3,-1,-0.04561314104341374,RA_OF_ASC_NODE,2.1097535448293256
NUSAT-39 (TIKVAH ALPER),56201,15.42581765,0.0004537,97.3182,357.0624,357.0442,0.0007511,0.00032661,0.0,3,-1,-0.033237760559829355,ARG_OF_PERICENTER,2.63151459019166
NUSAT-38 (MARIA AGNESI),56202,15.44959031,0.001334,97.3117,357.4354,2.35,0.0007735,0.00036567,0.0,3,-1,-0.0188872039417452,RA_OF_ASC_NODE,2.0417754807812827
GHGSAT-C6,56204,15.50547926,0.0006242,97.311,356.3635,353.3859,0.00032645,0.00018587,0.0,3,-1,-0.02329239170605485,ARG_OF_PERICENTER,2.5874829312244696
GHGSAT-C7,56209,15.48128003,0.0006996,97.3066,355.203,343.231,0.000265,0.00013836,0.0,3,-1,-0.01398810199178624,RA_OF_ASC_NODE,2.0154042208484655
STARLINK-30090,56293,15.78707435,0.0001768,43.0,96.8803,274.8064,0.0091396,0.01896916,0.0,0,-1,-0.018843516050555897,MEAN_MOTION_DOT,5.517416650254538
POEM-2,56308,14.94731672,0.0021177,9.888,125.5612,233.0085,0.00018392,2.761e-05,0.0,0,-1,-0.09131721741204468,INCLINATION,3.681284634419118
LUMELITE-4,56309,15.20349085,0.0005462,9.9925,308.3333,347.608,0.00057928,0.00013924,0.0,0,-1,-0.03529689669159464,INCLINATION,3.6711055039329747
TELEOS-2,56310,14.96373585,8.33e-05,9.989,80.8632,221.662,8.9486e-06,7.92e-06,0.0,0,-1,-0.028441355066873286,INCLINATION,3.6714464317483007
STARLINK-6256,56401,15.98484878,0.0014696,42.9892,347.7851,226.0544,0.0008765,0.00431499,8.5518e-05,0,-1,-0.1297406700221162,MEAN_MOTION_DDOT,1.8519778787185117
STARLINK-6258,56413,15.24700354,0.0002637,43.0009,79.0118,256.8488,0.058933,0.01642809,0.0,0,-1,-0.051873345820792616,BSTAR,4.953242552454075
STARLINK-5340,56506,15.20987299,0.0001978,43.001,92.6301,274.7334,0.084987,0.02108282,0.0,0,-1,-0.10002467858702757,BSTAR,7.225614524348933
STARLINK-6307,56529,15.2358311,0.0001163,43.0004,92.4436,281.1605,0.07491,0.02030978,0.0,0,-1,-0.07533503145813425,BSTAR,6.3467209816766195
STARLINK-6266,56542,15.20976521,0.0001228,43.0005,118.392,288.0677,0.0844,0.02091677,0.0,0,-1,-0.0888455568164207,BSTAR,7.174417689026055
STARLINK-30122,56688,15.23613339,0.0001473,43.0003,169.9131,301.145,0.069907,0.01882141,0.0,0,-1,-0.039682011736960066,BSTAR,5.9103704414375
IRIDIUM 177,56727,14.80219209,0.0002163,86.2021,6.9534,85.3831,0.00017865,1.384e-05,0.0,3,-1,-0.00649386782834932,RA_OF_ASC_NODE,2.098455626445637
STARLINK-6070,56802,15.58205235,0.0004034,69.9981,270.6609,292.3605,0.013835,0.01165181,0.0,0,-1,-0.044717847217031426,MEAN_MOTION_DOT,3.2953444655707345
STARLINK-6072,56806,14.97103337,0.0005726,69.9998,256.6089,97.3873,-0.013752,-0.00155634,0.0,4,-1,-0.06535169708666355,BSTAR,6.016494436121195
STARLINK-6180,56887,15.12226838,0.0001288,43.0022,336.7995,252.7057,-0.037637,-0.00622148,0.0,0,-1,-0.02679237055138617,BSTAR,3.469378209267217
