OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE
SCISAT 1,2003-036A,2026-04-10 13:25:16.597632,14.81371386,0.0006717,73.9291,305.7056,16.1861,343.9528,0,U,27858,999,22143,7.6457e-05,5.61e-06,0.0,5832.433434082815,7003.069814518118,632.0698145181177,620.3658525237051,629.7737765125303,7.5442927657952215,23.3,A,4,1,0.06628855293072494
COSMOS 2400,2003-037A,2026-04-10 11:47:09.916800,12.45188432,0.0020746,82.476,12.2977,201.4867,158.5345,0,U,27868,999,2911,-0.00017381,-1.5e-07,0.0,6938.708855592709,7862.748276356062,1491.748276356062,1468.4362187819333,1501.0603339301906,7.119927564655261,23.3,A,4,1,0.029339941506164258
COSMOS 2401,2003-037B,2026-04-10 11:17:33.342720,12.45501516,0.0021563,82.4754,8.7203,196.817,163.2198,0,U,27869,999,2934,0.00014532,3.1e-07,0.0,6936.964659623906,7861.43057217829,1490.4305721782903,1466.4789694355022,1500.3821749210783,7.120524247733602,23.3,B,4,1,0.0569542217071633
MOZHAETS 4 (RS22),2003-042A,2026-04-10 12:13:56.985312,14.73347038,0.0012313,98.3467,282.9614,120.1275,324.6603,0,U,27939,999,20558,0.00015857,9.74e-06,0.0,5864.198846001956,7028.474185800999,657.4741858009993,641.8200255360225,659.1283460659752,7.530646026135995,23.3,A,4,1,0.14243321089407524
LARETS,2003-042F,2026-04-10 12:20:49.597152,14.63857038,0.0011135,98.4076,261.3262,245.0016,115.0029,0,U,27944,999,20346,2.1744e-05,6.3e-07,0.0,5902.215705301681,7058.81793157157,687.8179315715697,672.9579378047647,688.6779253383747,7.514442597187216,23.3,F,4,1,0.1285862487694593
IRS-P6 (RESOURCESAT-1),2003-046A,2026-04-10 12:31:51.743424,14.36137903,0.0064016,98.1986,140.3281,184.161,310.7258,0,U,28051,999,17081,0.00019261,5.34e-06,0.0,6016.135346021851,7149.357167036306,778.3571670363062,725.5898421958063,817.1244918768061,7.466709660613825,23.3,A,4,1,0.12726824979932155
DMSP 5D-3 F16 (USA 172),2003-048A,2026-04-10 13:23:50.443008,14.14474168,0.0006692,98.9953,123.9216,347.8867,164.4365,0,U,28054,999,15992,6.6795e-05,8.3e-07,0.0,6108.276980566251,7222.170605330891,851.1706053308908,839.3375287618028,849.0036818999779,7.428974877487096,23.3,A,4,1,0.09701656703345735
CHUANGXIN 1 (CX-1),2003-049B,2026-04-10 11:34:43.616064,14.48551542,0.0013161,98.5142,359.0379,33.1728,327.0287,0,U,28058,999,18647,7.1655e-05,2.24e-06,0.0,5964.578925559557,7108.453417807274,737.4534178072736,721.0979822640975,739.8088533504497,7.488161466041324,23.3,B,4,1,0.0785036541494481
SHIYAN-1 (SY-1),2004-012A,2026-04-10 13:18:45.129600,15.32082989,0.0004676,97.8716,174.3185,251.4103,108.663,0,U,28220,999,20073,0.00045317,0.00013967,0.0,5639.381196732287,6847.671163296221,476.6711632962206,466.4691922602633,472.87313433217696,7.629416303077891,22.3,A,4,1,0.12185270487218985
APRIZESAT 2,2004-025A,2026-04-10 10:39:40.958784,14.38012175,0.0106897,98.0955,270.2806,94.5965,266.7442,0,U,28366,999,14190,8.7752e-05,2.42e-06,0.0,6008.294053560429,7143.1436116310515,772.1436116310515,688.7855493657989,841.5016738963031,7.469956461448114,22.3,A,4,1,0.10144632383367741
